epoch,train_loss,valid_loss,accuracy,error_rate,precision_score,f1_score,time
epoch,train_loss,valid_loss,accuracy,error_rate,precision_score,f1_score,time
0,0.1268317848443985,0.015318655408918858,0.9993901252746582,0.0006098411977291107,0.9993901509376429,0.9993901509376429,00:14
1,0.012277444824576378,0.14992785453796387,0.9995425939559937,0.00045738089829683304,0.9995426132032322,0.9995426132032322,00:15
2,0.0017476074863225222,0.016706157475709915,0.9994663596153259,0.0005336110480129719,0.9994663820704376,0.9994663820704376,00:14
3,0.0006768069579266012,0.1201624870300293,0.9993901252746582,0.0006098411977291107,0.9993901509376429,0.9993901509376429,00:14
4,0.0005017862422391772,1.1333634853363037,0.9994663596153259,0.0005336110480129719,0.9994663820704376,0.9994663820704376,00:14
5,0.0002851838944479823,0.013407247141003609,0.9994663596153259,0.0005336110480129719,0.9994663820704376,0.9994663820704376,00:16
6,0.0002534781815484166,0.09335862845182419,0.9994663596153259,0.0005336110480129719,0.9994663820704376,0.9994663820704376,00:16
7,0.00017015822231769562,0.022918660193681717,0.9994663596153259,0.0005336110480129719,0.9994663820704376,0.9994663820704376,00:14
8,6.760201358702034e-05,0.2198258340358734,0.9994663596153259,0.0005336110480129719,0.9994663820704376,0.9994663820704376,00:18
9,4.560785964713432e-05,0.01748696342110634,0.9994663596153259,0.0005336110480129719,0.9994663820704376,0.9994663820704376,00:16
